date,lat,lon,zone,deaths,confirmed
237,-3.7481,-73.2442,1,971.0,21969.0
237,-5.1525,-80.6578,1,2027.0,38226.0
237,-6.0347,-76.9742,1,734.0,21079.0
237,-3.5711,-80.4592,1,316.0,8403.0
238,-6.2294,-77.8728,1,226.0,16647.0
238,-7.1547,-78.5108,1,517.0,22164.0
238,-8.1,-79.0306,1,2294.0,32725.0
238,-6.7669,-79.8506,1,1777.0,28662.0
238,-3.7481,-73.2442,1,971.0,22115.0
238,-5.1525,-80.6578,1,2028.0,38324.0
238,-6.0347,-76.9742,1,735.0,21231.0
238,-3.5711,-80.4592,1,316.0,8441.0
239,-6.2294,-77.8728,1,227.0,16713.0
239,-7.1547,-78.5108,1,518.0,22222.0
239,-8.1,-79.0306,1,2296.0,32863.0
239,-6.7669,-79.8506,1,1779.0,28728.0
239,-3.7481,-73.2442,1,972.0,22170.0
239,-5.1525,-80.6578,1,2029.0,38440.0
239,-6.0347,-76.9742,1,736.0,21309.0
239,-3.5711,-80.4592,1,316.0,8474.0
240,-6.2294,-77.8728,1,228.0,16809.0
240,-7.1547,-78.5108,1,520.0,22263.0
240,-8.1,-79.0306,1,2297.0,32960.0
240,-6.7669,-79.8506,1,1782.0,28768.0
240,-3.7481,-73.2442,1,973.0,22260.0
240,-5.1525,-80.6578,1,2032.0,38519.0
240,-6.0347,-76.9742,1,737.0,21449.0
240,-3.5711,-80.4592,1,317.0,8500.0
241,-6.2294,-77.8728,1,228.0,16856.0
241,-7.1547,-78.5108,1,521.0,22282.0
241,-8.1,-79.0306,1,2298.0,33027.0
241,-6.7669,-79.8506,1,1784.0,28785.0
241,-3.7481,-73.2442,1,974.0,22356.0
241,-5.1525,-80.6578,1,2035.0,38562.0
241,-6.0347,-76.9742,1,739.0,21582.0
241,-3.5711,-80.4592,1,317.0,8513.0
242,-6.2294,-77.8728,1,228.0,16909.0
242,-7.1547,-78.5108,1,524.0,22329.0
242,-8.1,-79.0306,1,2300.0,33085.0
242,-6.7669,-79.8506,1,1785.0,28818.0
242,-3.7481,-73.2442,1,974.0,22441.0
242,-5.1525,-80.6578,1,2037.0,38625.0
242,-6.0347,-76.9742,1,739.0,21774.0
242,-3.5711,-80.4592,1,317.0,8540.0
243,-6.2294,-77.8728,1,229.0,17012.0
243,-7.1547,-78.5108,1,524.0,22416.0
243,-8.1,-79.0306,1,2303.0,33172.0
243,-6.7669,-79.8506,1,1785.0,28929.0
243,-3.7481,-73.2442,1,975.0,22541.0
243,-5.1525,-80.6578,1,2037.0,38758.0
243,-6.0347,-76.9742,1,741.0,21833.0
243,-3.5711,-80.4592,1,317.0,8570.0
244,-6.2294,-77.8728,1,230.0,17166.0
244,-7.1547,-78.5108,1,526.0,22505.0
244,-8.1,-79.0306,1,2305.0,33255.0
244,-6.7669,-79.8506,1,1785.0,29009.0
244,-3.7481,-73.2442,1,975.0,22657.0
244,-5.1525,-80.6578,1,2041.0,38814.0
244,-6.0347,-76.9742,1,742.0,21932.0
