date,region,region_orig,deaths,confirmed
54,PIURA,PIURA,103.0,1080.0
54,SAN MARTIN,SAN MARTIN,1.0,205.0
54,TACNA,TACNA,1.0,94.0
54,TUMBES,TUMBES,19.0,290.0
54,UCAYALI,UCAYALI,14.0,526.0
55,ANCASH,ANCASH,56.0,693.0
55,AREQUIPA,AREQUIPA,11.0,571.0
55,CAJAMARCA,CAJAMARCA,3.0,170.0
55,CALLAO,CALLAO,60.0,3219.0
55,CUSCO,CUSCO,3.0,212.0
55,HUANCAVELICA,HUANCAVELICA,1.0,88.0
55,ICA,ICA,28.0,550.0
55,JUNIN,JUNIN,4.0,394.0
55,LA LIBERTAD,LA LIBERTAD,23.0,668.0
55,LAMBAYEQUE,LAMBAYEQUE,192.0,2176.0
55,LIMA,LIMA,437.0,23561.0
55,LORETO,LORETO,55.0,1202.0
55,PASCO,PASCO,1.0,113.0
55,PIURA,PIURA,118.0,1207.0
55,SAN MARTIN,SAN MARTIN,1.0,238.0
55,TACNA,TACNA,1.0,111.0
55,TUMBES,TUMBES,19.0,310.0
55,UCAYALI,UCAYALI,38.0,671.0
56,ANCASH,ANCASH,56.0,822.0
56,AREQUIPA,AREQUIPA,11.0,624.0
56,CAJAMARCA,CAJAMARCA,3.0,201.0
56,CALLAO,CALLAO,60.0,3458.0
56,CUSCO,CUSCO,3.0,221.0
56,HUANCAVELICA,HUANCAVELICA,1.0,109.0
56,ICA,ICA,41.0,580.0
56,JUNIN,JUNIN,4.0,436.0
56,LA LIBERTAD,LA LIBERTAD,23.0,720.0
56,LAMBAYEQUE,LAMBAYEQUE,194.0,2360.0
56,LIMA,LIMA,491.0,25718.0
56,LORETO,LORETO,57.0,1355.0
56,MADRE DE DIOS,MADRE DE DIOS,1.0,116.0
56,PASCO,PASCO,1.0,122.0
56,PIURA,PIURA,119.0,1396.0
56,SAN MARTIN,SAN MARTIN,1.0,248.0
56,TACNA,TACNA,1.0,126.0
56,TUMBES,TUMBES,19.0,326.0
56,UCAYALI,UCAYALI,38.0,760.0
57,AMAZONAS,AMAZONAS,1.0,136.0
57,ANCASH,ANCASH,66.0,907.0
57,AREQUIPA,AREQUIPA,16.0,655.0
57,CAJAMARCA,CAJAMARCA,3.0,224.0
57,CALLAO,CALLAO,66.0,3543.0
57,CUSCO,CUSCO,3.0,221.0
57,HUANCAVELICA,HUANCAVELICA,1.0,133.0
57,ICA,ICA,41.0,584.0
57,JUNIN,JUNIN,7.0,451.0
57,LA LIBERTAD,LA LIBERTAD,23.0,798.0
57,LAMBAYEQUE,LAMBAYEQUE,220.0,2548.0
57,LIMA,LIMA,504.0,26908.0
57,LORETO,LORETO,57.0,1425.0
57,MADRE DE DIOS,MADRE DE DIOS,1.0,118.0
57,PASCO,PASCO,1.0,148.0
57,PIURA,PIURA,131.0,1492.0
57,SAN MARTIN,SAN MARTIN,1.0,265.0
57,TACNA,TACNA,1.0,128.0
57,TUMBES,TUMBES,19.0,336.0
57,UCAYALI,UCAYALI,38.0,826.0
58,AMAZONAS,AMAZONAS,1.0,155.0
58,ANCASH,ANCASH,77.0,993.0
58,AREQUIPA,AREQUIPA,16.0,692.0
58,CAJAMARCA,CAJAMARCA,3.0,259.0
58,CALLAO,CALLAO,66.0,3893.0
58,CUSCO,CUSCO,3.0,230.0
58,HUANCAVELICA,HUANCAVELICA,1.0,186.0
58,ICA,ICA,41.0,676.0
58,JUNIN,JUNIN,7.0,506.0
58,LA LIBERTAD,LA LIBERTAD,23.0,879.0
58,LAMBAYEQUE,LAMBAYEQUE,267.0,2646.0
58,LIMA,LIMA,517.0,28990.0
58,LORETO,LORETO,59.0,1502.0
58,MADRE DE DIOS,MADRE DE DIOS,1.0,120.0
58,PASCO,PASCO,1.0,161.0
58,PIURA,PIURA,143.0,1618.0
58,SAN MARTIN,SAN MARTIN,1.0,282.0
58,TACNA,TACNA,2.0,141.0
58,TUMBES,TUMBES,19.0,347.0
58,UCAYALI,UCAYALI,38.0,913.0
60,AMAZONAS,AMAZONAS,4.0,170.0
60,ANCASH,ANCASH,85.0,1159.0
60,AREQUIPA,AREQUIPA,18.0,763.0
60,CAJAMARCA,CAJAMARCA,3.0,322.0
60,CALLAO,CALLAO,77.0,4245.0
60,CUSCO,CUSCO,3.0,249.0
60,HUANCAVELICA,HUANCAVELICA,1.0,203.0
60,HUANUCO,HUANUCO,2.0,255.0
60,ICA,ICA,41.0,698.0
60,JUNIN,JUNIN,7.0,587.0
60,LA LIBERTAD,LA LIBERTAD,46.0,1062.0
60,LAMBAYEQUE,LAMBAYEQUE,299.0,3008.0
60,LIMA,LIMA,584.0,32339.0
60,LORETO,LORETO,62.0,1595.0
60,MADRE DE DIOS,MADRE DE DIOS,1.0,124.0
60,PASCO,PASCO,1.0,166.0
60,PIURA,PIURA,149.0,1804.0
60,PUNO,PUNO,1.0,144.0
60,SAN MARTIN,SAN MARTIN,1.0,303.0
60,TACNA,TACNA,2.0,149.0
60,TUMBES,TUMBES,19.0,378.0
60,UCAYALI,UCAYALI,38.0,1032.0
61,AMAZONAS,AMAZONAS,5.0,176.0
61,ANCASH,ANCASH,85.0,1256.0
61,AREQUIPA,AREQUIPA,20.0,790.0
61,CAJAMARCA,CAJAMARCA,3.0,301.0
61,CALLAO,CALLAO,82.0,4404.0
61,CUSCO,CUSCO,3.0,258.0
61,HUANCAVELICA,HUANCAVELICA,1.0,181.0
61,HUANUCO,HUANUCO,7.0,259.0
61,ICA,ICA,41.0,708.0
61,JUNIN,JUNIN,14.0,632.0
61,LA LIBERTAD,LA LIBERTAD,46.0,1119.0
61,LAMBAYEQUE,LAMBAYEQUE,299.0,3127.0
61,LIMA,LIMA,613.0,35299.0
61,LORETO,LORETO,67.0,1559.0
61,MADRE DE DIOS,MADRE DE DIOS,1.0,129.0
61,PASCO,PASCO,1.0,151.0
61,PIURA,PIURA,184.0,1914.0
61,PUNO,PUNO,1.0,149.0
61,SAN MARTIN,SAN MARTIN,1.0,317.0
61,TACNA,TACNA,2.0,160.0
61,TUMBES,TUMBES,19.0,443.0
61,UCAYALI,UCAYALI,38.0,1076.0
62,AMAZONAS,AMAZONAS,7.0,186.0
62,ANCASH,ANCASH,93.0,1307.0
62,AREQUIPA,AREQUIPA,20.0,814.0
62,CAJAMARCA,CAJAMARCA,3.0,316.0
62,CALLAO,CALLAO,82.0,4678.0
62,CUSCO,CUSCO,3.0,280.0
62,HUANCAVELICA,HUANCAVELICA,1.0,176.0
62,HUANUCO,HUANUCO,7.0,293.0
62,ICA,ICA,41.0,860.0
62,JUNIN,JUNIN,14.0,655.0
62,LA LIBERTAD,LA LIBERTAD,67.0,1206.0
62,LAMBAYEQUE,LAMBAYEQUE,318.0,3268.0
62,LIMA,LIMA,636.0,37606.0
62,LORETO,LORETO,67.0,1666.0
62,MADRE DE DIOS,MADRE DE DIOS,1.0,138.0
62,PASCO,PASCO,1.0,151.0
62,PIURA,PIURA,205.0,2214.0
62,PUNO,PUNO,1.0,158.0
62,SAN MARTIN,SAN MARTIN,1.0,334.0
62,TACNA,TACNA,2.0,166.0
62,TUMBES,TUMBES,19.0,451.0
62,UCAYALI,UCAYALI,38.0,1169.0
63,AMAZONAS,AMAZONAS,7.0,207.0
63,ANCASH,ANCASH,106.0,1390.0
63,AREQUIPA,AREQUIPA,20.0,854.0
63,CAJAMARCA,CAJAMARCA,3.0,328.0
63,CALLAO,CALLAO,82.0,4968.0
63,CUSCO,CUSCO,3.0,328.0
63,HUANCAVELICA,HUANCAVELICA,1.0,178.0
63,HUANUCO,HUANUCO,7.0,323.0
63,ICA,ICA,41.0,884.0
63,JUNIN,JUNIN,14.0,689.0
63,LA LIBERTAD,LA LIBERTAD,66.0,1275.0
63,LAMBAYEQUE,LAMBAYEQUE,347.0,3479.0
63,LIMA,LIMA,653.0,39837.0
63,LORETO,LORETO,67.0,1704.0
63,MADRE DE DIOS,MADRE DE DIOS,1.0,139.0
63,PASCO,PASCO,1.0,158.0
63,PIURA,PIURA,233.0,2258.0
63,PUNO,PUNO,1.0,164.0
63,SAN MARTIN,SAN MARTIN,2.0,394.0
63,TACNA,TACNA,2.0,166.0
63,TUMBES,TUMBES,19.0,461.0
63,UCAYALI,UCAYALI,38.0,1208.0
64,AMAZONAS,AMAZONAS,7.0,221.0
64,ANCASH,ANCASH,106.0,1472.0
64,AREQUIPA,AREQUIPA,20.0,904.0
64,CAJAMARCA,CAJAMARCA,3.0,351.0
64,CALLAO,CALLAO,119.0,5217.0
64,CUSCO,CUSCO,3.0,366.0
64,HUANCAVELICA,HUANCAVELICA,1.0,185.0
64,HUANUCO,HUANUCO,7.0,331.0
64,ICA,ICA,41.0,930.0
64,JUNIN,JUNIN,14.0,764.0
